restaurant_name,Area
"""Chimichanga Holland Village""","""Holland Village"""
"""Cha Cha Cha Mexican Restaurant","""Holland Village"""
"""Wala Wala Cafe Bar""","""Holland Village"""
"""Barrels Balmoral""","""Holland Village"""
"""Super Thai by Soi Aroy""","""Holland Village"""
"""Takeda Garden Roof Top Bar""","""Holland Village"""
"""KUBES Indian Restobar""","""Little India"""
"""Harry's Holland Village""","""Holland Village"""
"""MB419""","""Tanjong Katong"""
"""Al Capone's Katong""","""Tanjong Katong"""
